time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date,open,high,low,close,volume
1747296000,2025-05-15 04:00:00,14.1,57.5,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",4.7,7.6,75,ENE,1013.0,29.92,0.0,0.0,0.0,98,100,14.0,57.1,14.0,57.1,14.1,57.5,13.9,57.0,0,0,0,0,0.0,0.0,7.4,11.8,0.0,,,0,2025-05-15,257.61,257.61,256.08,256.88,1767
1747299600,2025-05-15 05:00:00,14.2,57.6,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",5.1,8.3,68,ENE,1013.0,29.91,0.1,0.0,0.0,98,100,13.9,57.1,13.9,57.1,14.2,57.6,13.9,56.9,1,100,0,0,0.0,0.0,8.0,12.9,0.0,,,0,2025-05-15,256.5,256.82,256.1,256.82,566
1747303200,2025-05-15 06:00:00,14.3,57.8,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",5.4,8.6,65,ENE,1013.0,29.92,0.1,0.0,0.0,97,100,14.0,57.1,14.0,57.1,14.3,57.8,13.9,57.0,1,100,0,0,0.0,0.0,8.4,13.5,3.0,,,0,2025-05-15,256.76,256.87,256.4,256.84,273
1747306800,2025-05-15 07:00:00,14.4,57.9,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",5.8,9.4,62,ENE,1013.0,29.92,0.1,0.0,0.0,97,100,14.0,57.2,14.0,57.2,14.4,57.9,13.9,57.1,1,100,0,0,0.0,0.0,8.9,14.3,3.0,,,0,2025-05-15,256.81,257.11,256.42,257.1,2412
1747310400,2025-05-15 08:00:00,15.1,59.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.4,8.6,67,ENE,1013.0,29.92,0.0,0.0,0.0,96,100,15.1,59.2,15.1,59.2,15.1,59.2,13.9,57.1,0,0,0,0,2.0,1.0,7.8,12.5,4.0,,,0,2025-05-15,255.6012,258.01,255.6012,256.98,1291
1747314000,2025-05-15 09:00:00,17.0,62.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",6.0,9.7,80,E,1013.0,29.91,0.0,0.0,0.0,91,100,17.0,62.6,17.0,62.6,17.0,62.6,15.4,59.8,0,0,0,0,2.0,1.0,11.1,17.8,4.0,,,0,2025-05-15,256.85,262.12,256.4,262.01,307872
1747317600,2025-05-15 10:00:00,18.0,64.4,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",6.3,10.1,91,E,1013.0,29.9,0.3,0.01,0.0,88,100,18.0,64.4,18.0,64.4,18.0,64.4,15.7,60.3,1,100,0,0,10.0,6.0,10.5,16.9,4.0,,,0,2025-05-15,262.005,263.59,261.85,263.3675,541853
1747321200,2025-05-15 11:00:00,19.1,66.4,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",4.9,7.9,93,E,1012.0,29.9,0.0,0.0,0.0,85,100,19.1,66.4,19.1,66.4,19.1,66.4,16.1,61.0,0,0,0,0,10.0,6.0,9.3,15.0,4.0,,,0,2025-05-15,263.31,264.5,263.22,264.39,413850
1747324800,2025-05-15 12:00:00,21.1,69.9,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",4.3,6.8,101,ESE,1012.0,29.88,0.1,0.0,0.0,84,100,21.1,69.9,21.1,69.9,24.2,75.6,17.6,63.7,1,100,0,0,10.0,6.0,8.0,12.9,5.0,,,0,2025-05-15,264.4799,265.2493,264.26,265.21,362469
1747328400,2025-05-15 13:00:00,21.8,71.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",4.7,7.6,123,ESE,1012.0,29.88,0.0,0.0,0.0,84,100,21.8,71.2,21.8,71.2,24.4,75.9,17.9,64.2,0,0,0,0,10.0,6.0,13.1,21.1,5.0,,,0,2025-05-15,265.23,265.97,265.17,265.375,393817
